"Appraisal Rate","المعدل"
"Very Weak","رديء"
"Weak","ضعيف"
"Fair","مقبول"
"Good","جيد"
"Very Good","جيد جداً"
"Excellent","ممتاز"
"Strengths And Weakness","نقاط القوة والضعف"
"Strengths","نقاط القوة"
"Weakness","نقاط الضعف"
"Training Needs","احتياجات التدريب"
"Appraisal Evaluation","تقدير النتيجة"
"For Min Rate {0} already found {1}","للدرجة الصغرى {0} {1} موجود مسبقاً"
"Min Rate","الدرجة الصغرى"
"Evaluation Name","التقدير"
"Volunteer Hours Approver is not the Employee Approver","معتمد ساعات التطوع ليس المسئول المباشر للموظف"
"Volunteer Hours Approver is not the Volunteer Approver","معتمد ساعات التطوع ليس المسئول المباشر المتطوع"
"Approver Full Name","الاسم الكامل للمعتمد"
"Volunteering Info","معلومات التطوع"
"Volunteer Hours Working need Approved","ساعات عمل طوعية تحتاج الى اعتماد"
"Volunteer Hours Approver","معتمد ساعات التطوع"
"Manufacturing Request Tool","أداة طلب المواد للتصنيع"
"Create Material Request","إنشاء طلب المواد"
"Manufacturing Request Warehouse","مستودعات طلب التصنيع"
"No Material Request created.","لم يتم إنشاء أي طلب مواد."
"Material Requests created.","تم إنشاء طلب المواد."
"Retail Warehouse","مستودع توزيع."
"Manufacturing Warehouse","مستودع تصنيع."
"Material Requests created for {0} for today {1}.","أنشئ طلب المواد لـ {0}. لليوم تاريخ {1}"
"{0} Has already Material Request.","{0} لها طلب مواد فعليا لليوم تاريخ {1}."
"No Material Request created for {0}.","لم يتم إنشاء أي طلب مواد لـ {0}."
"Covenant","عهدة"
"Default Employee Covenant Account","الحساب الافتراضي لعهد الموظفين"
"Skills Need To Perform Your Job","المهارات المحتاجة لتأدية العمل"
"Job Tasks","مهام العمل"
"Training Applicate","طلب تدريب"
"Applicate Date","تاريخ الطلب"
